Pclass,Sex,Age,SibSp,Fare,Parch,Cabin,Embarked,Survived
3,male,22.0,1,7.25,0,,S,0
1,female,38.0,1,71.2833,0,C85,C,1
3,female,26.0,0,7.925,0,,S,1
1,female,35.0,1,53.1,0,C123,S,1
3,male,35.0,0,8.05,0,,S,0
3,male,,0,8.4583,0,,Q,0
1,male,54.0,0,51.8625,0,E46,S,0
3,male,2.0,3,21.075,1,,S,0
3,female,27.0,0,11.1333,2,,S,1
2,female,14.0,1,30.0708,0,,C,1
3,female,4.0,1,16.7,1,G6,S,1
1,female,58.0,0,26.55,0,C103,S,1
3,male,20.0,0,8.05,0,,S,0
3,male,39.0,1,31.275,5,,S,0
3,female,14.0,0,7.8542,0,,S,0
2,female,55.0,0,16.0,0,,S,1
3,male,2.0,4,29.125,1,,Q,0
2,male,,0,13.0,0,,S,1
3,female,31.0,1,18.0,0,,S,0
3,female,,0,7.225,0,,C,1
2,male,35.0,0,26.0,0,,S,0
2,male,34.0,0,13.0,0,D56,S,1
3,female,15.0,0,8.0292,0,,Q,1
1,male,28.0,0,35.5,0,A6,S,1
3,female,8.0,3,21.075,1,,S,0
3,female,38.0,1,31.3875,5,,S,1
3,male,,0,7.225,0,,C,0
1,male,19.0,3,263.0,2,C23 C25 C27,S,0
3,female,,0,7.8792,0,,Q,1
3,male,,0,7.8958,0,,S,0
1,male,40.0,0,27.7208,0,,C,0
1,female,,1,146.5208,0,B78,C,1
3,female,,0,7.75,0,,Q,1
2,male,66.0,0,10.5,0,,S,0
1,male,28.0,1,82.1708,0,,C,0
1,male,42.0,1,52.0,0,,S,0
3,male,,0,7.2292,0,,C,1
3,male,21.0,0,8.05,0,,S,0
3,female,18.0,2,18.0,0,,S,0
3,female,14.0,1,11.2417,0,,C,1
3,female,40.0,1,9.475,0,,S,0
2,female,27.0,1,21.0,0,,S,0
3,male,,0,7.8958,0,,C,0
2,female,3.0,1,41.5792,2,,C,1
3,female,19.0,0,7.8792,0,,Q,1
3,male,,0,8.05,0,,S,0
3,male,,1,15.5,0,,Q,0
3,female,,0,7.75,0,,Q,1
3,male,,2,21.6792,0,,C,0
3,female,18.0,1,17.8,0,,S,0
3,male,7.0,4,39.6875,1,,S,0
3,male,21.0,0,7.8,0,,S,0
1,female,49.0,1,76.7292,0,D33,C,1
2,female,29.0,1,26.0,0,,S,1
1,male,65.0,0,61.9792,1,B30,C,0
1,male,,0,35.5,0,C52,S,1
2,female,21.0,0,10.5,0,,S,1
3,male,28.5,0,7.2292,0,,C,0
2,female,5.0,1,27.75,2,,S,1
3,male,11.0,5,46.9,2,,S,0
3,male,22.0,0,7.2292,0,,C,0
1,female,38.0,0,80.0,0,B28,,1
1,male,45.0,1,83.475,0,C83,S,0
3,male,4.0,3,27.9,2,,S,0
1,male,,0,27.7208,0,,C,0
3,male,,1,15.2458,1,,C,1
2,female,29.0,0,10.5,0,F33,S,1
3,male,19.0,0,8.1583,0,,S,0
3,female,17.0,4,7.925,2,,S,1
3,male,26.0,2,8.6625,0,,S,0
2,male,32.0,0,10.5,0,,S,0
3,female,16.0,5,46.9,2,,S,0
2,male,21.0,0,73.5,0,,S,0
3,male,26.0,1,14.4542,0,,C,0
3,male,32.0,0,56.4958,0,,S,1
3,male,25.0,0,7.65,0,F G73,S,0
3,male,,0,7.8958,0,,S,0
3,male,,0,8.05,0,,S,0
2,male,0.83,0,29.0,2,,S,1
3,female,30.0,0,12.475,0,,S,1
3,male,22.0,0,9.0,0,,S,0
3,male,29.0,0,9.5,0,,S,1
3,female,,0,7.7875,0,,Q,1
1,male,28.0,0,47.1,0,,S,0
2,female,17.0,0,10.5,0,,S,1
3,female,33.0,3,15.85,0,,S,1
3,male,16.0,1,34.375,3,,S,0
3,male,,0,8.05,0,,S,0
1,female,23.0,3,263.0,2,C23 C25 C27,S,1
3,male,24.0,0,8.05,0,,S,0
3,male,29.0,0,8.05,0,,S,0
3,male,20.0,0,7.8542,0,,S,0
1,male,46.0,1,61.175,0,E31,S,0
3,male,26.0,1,20.575,2,,S,0
3,male,59.0,0,7.25,0,,S,0
3,male,,0,8.05,0,,S,0
1,male,71.0,0,34.6542,0,A5,C,0
1,male,23.0,0,63.3583,1,D10 D12,C,1
2,female,34.0,0,23.0,1,,S,1
2,male,34.0,1,26.0,0,,S,0
3,female,28.0,0,7.8958,0,,S,0
3,male,,0,7.8958,0,,S,0
1,male,21.0,0,77.2875,1,D26,S,0
3,male,33.0,0,8.6542,0,,S,0
3,male,37.0,2,7.925,0,,S,0
3,male,28.0,0,7.8958,0,,S,0
3,female,21.0,0,7.65,0,,S,1
3,male,,0,7.775,0,,S,1
3,male,38.0,0,7.8958,0,,S,0
3,female,,1,24.15,0,,Q,1
1,male,47.0,0,52.0,0,C110,S,0
3,female,14.5,1,14.4542,0,,C,0
3,male,22.0,0,8.05,0,,S,0
3,female,20.0,1,9.825,0,,S,0
3,female,17.0,0,14.4583,0,,C,0
3,male,21.0,0,7.925,0,,S,0
3,male,70.5,0,7.75,0,,Q,0
2,male,29.0,1,21.0,0,,S,0
1,male,24.0,0,247.5208,1,B58 B60,C,0
3,female,2.0,4,31.275,2,,S,0
2,male,21.0,2,73.5,0,,S,0
3,male,,0,8.05,0,,S,0
2,male,32.5,1,30.0708,0,,C,0
2,female,32.5,0,13.0,0,E101,S,1
1,male,54.0,0,77.2875,1,D26,S,0
3,male,12.0,1,11.2417,0,,C,1
3,male,,0,7.75,0,,Q,0
3,male,24.0,0,7.1417,0,,S,1
3,female,,1,22.3583,1,F E69,C,1
3,male,45.0,0,6.975,0,,S,0
3,male,33.0,0,7.8958,0,,C,0
3,male,20.0,0,7.05,0,,S,0
3,female,47.0,1,14.5,0,,S,0
2,female,29.0,1,26.0,0,,S,1
2,male,25.0,0,13.0,0,,S,0
2,male,23.0,0,15.0458,0,,C,0
1,female,19.0,0,26.2833,2,D47,S,1
1,male,37.0,1,53.1,0,C123,S,0
3,male,16.0,0,9.2167,0,,S,0
1,male,24.0,0,79.2,0,B86,C,0
3,female,,0,15.2458,2,,C,0
3,female,22.0,0,7.75,0,,S,1
3,female,24.0,1,15.85,0,,S,1
3,male,19.0,0,6.75,0,,Q,0
2,male,18.0,0,11.5,0,,S,0
2,male,19.0,1,36.75,1,,S,0
3,male,27.0,0,7.7958,0,,S,1
3,female,9.0,2,34.375,2,,S,0
2,male,36.5,0,26.0,2,F2,S,0
2,male,42.0,0,13.0,0,,S,0
2,male,51.0,0,12.525,0,,S,0
1,female,22.0,1,66.6,0,C2,S,1
3,male,55.5,0,8.05,0,,S,0
3,male,40.5,0,14.5,2,,S,0
3,male,,0,7.3125,0,,S,0
1,male,51.0,0,61.3792,1,,C,0
3,female,16.0,0,7.7333,0,,Q,1
3,male,30.0,0,8.05,0,,S,0
3,male,,0,8.6625,0,,S,0
3,male,,8,69.55,2,,S,0
3,male,44.0,0,16.1,1,,S,0
2,female,40.0,0,15.75,0,,S,1
3,male,26.0,0,7.775,0,,S,0
3,male,17.0,0,8.6625,0,,S,0
3,male,1.0,4,39.6875,1,,S,0
3,male,9.0,0,20.525,2,,S,1
1,female,,0,55.0,1,E33,S,1
3,female,45.0,1,27.9,4,,S,0
1,male,,0,25.925,0,,S,0
3,male,28.0,0,56.4958,0,,S,0
1,male,61.0,0,33.5,0,B19,S,0
3,male,4.0,4,29.125,1,,Q,0
3,female,1.0,1,11.1333,1,,S,1
3,male,21.0,0,7.925,0,,S,0
1,male,56.0,0,30.6958,0,A7,C,0
3,male,18.0,1,7.8542,1,,S,0
3,male,,3,25.4667,1,,S,0
1,female,50.0,0,28.7125,0,C49,C,0
2,male,30.0,0,13.0,0,,S,0
3,male,36.0,0,0.0,0,,S,0
3,female,,8,69.55,2,,S,0
2,male,,0,15.05,0,,C,0
3,male,9.0,4,31.3875,2,,S,0
2,male,1.0,2,39.0,1,F4,S,1
3,female,4.0,0,22.025,2,,S,1
1,male,,0,50.0,0,A32,S,0
3,female,,1,15.5,0,,Q,1
1,male,45.0,0,26.55,0,,S,1
3,male,40.0,1,15.5,1,,Q,0
3,male,36.0,0,7.8958,0,,S,0
2,female,32.0,0,13.0,0,,S,1
2,male,19.0,0,13.0,0,,S,0
3,female,19.0,1,7.8542,0,,S,1
2,male,3.0,1,26.0,1,F2,S,1
1,female,44.0,0,27.7208,0,B4,C,1
1,female,58.0,0,146.5208,0,B80,C,1
3,male,,0,7.75,0,,Q,0
3,male,42.0,0,8.4042,1,,S,0
3,female,,0,7.75,0,,Q,1
2,female,24.0,0,13.0,0,,S,0
3,male,28.0,0,9.5,0,,S,0
3,male,,8,69.55,2,,S,0
3,male,34.0,0,6.4958,0,,S,0
3,male,45.5,0,7.225,0,,C,0
3,male,18.0,0,8.05,0,,S,1
3,female,2.0,0,10.4625,1,G6,S,0
3,male,32.0,1,15.85,0,,S,0
3,male,26.0,0,18.7875,0,,C,1
3,female,16.0,0,7.75,0,,Q,1
1,male,40.0,0,31.0,0,A31,C,1
3,male,24.0,0,7.05,0,,S,0
2,female,35.0,0,21.0,0,,S,1
3,male,22.0,0,7.25,0,,S,0
2,male,30.0,0,13.0,0,,S,0
3,male,,1,7.75,0,,Q,0
1,female,31.0,1,113.275,0,D36,C,1
3,female,27.0,0,7.925,0,,S,1
2,male,42.0,1,27.0,0,,S,0
1,female,32.0,0,76.2917,0,D15,C,1
2,male,30.0,0,10.5,0,,S,0
3,male,16.0,0,8.05,0,,S,1
2,male,27.0,0,13.0,0,,S,0
3,male,51.0,0,8.05,0,,S,0
3,male,,0,7.8958,0,,S,0
1,male,38.0,1,90.0,0,C93,S,1
3,male,22.0,0,9.35,0,,S,0
2,male,19.0,0,10.5,0,,S,1
3,male,20.5,0,7.25,0,,S,0
2,male,18.0,0,13.0,0,,S,0
3,female,,3,25.4667,1,,S,0
1,female,35.0,1,83.475,0,C83,S,1
3,male,29.0,0,7.775,0,,S,0
2,male,59.0,0,13.5,0,,S,0
3,female,5.0,4,31.3875,2,,S,1
2,male,24.0,0,10.5,0,,S,0
3,female,,0,7.55,0,,S,0
2,male,44.0,1,26.0,0,,S,0
2,female,8.0,0,26.25,2,,S,1
2,male,19.0,0,10.5,0,,S,0
2,male,33.0,0,12.275,0,,S,0
3,female,,1,14.4542,0,,C,0
3,female,,1,15.5,0,,Q,1
2,male,29.0,0,10.5,0,,S,0
3,male,22.0,0,7.125,0,,S,0
3,male,30.0,0,7.225,0,,C,0
1,male,44.0,2,90.0,0,C78,Q,0
3,female,25.0,0,7.775,0,,S,0
2,female,24.0,0,14.5,2,,S,1
1,male,37.0,1,52.5542,1,D35,S,1
2,male,54.0,1,26.0,0,,S,0
3,male,,0,7.25,0,,S,0
3,female,29.0,1,10.4625,1,G6,S,0
1,male,62.0,0,26.55,0,C87,S,0
3,male,30.0,1,16.1,0,,S,0
3,female,41.0,0,20.2125,2,,S,0
3,female,29.0,0,15.2458,2,,C,1
1,female,,0,79.2,0,,C,1
1,female,30.0,0,86.5,0,B77,S,1
1,female,35.0,0,512.3292,0,,C,1
2,female,50.0,0,26.0,1,,S,1
3,male,,0,7.75,0,,Q,0
3,male,3.0,4,31.3875,2,,S,1
1,male,52.0,1,79.65,1,E67,S,0
1,male,40.0,0,0.0,0,B94,S,0
3,female,,0,7.75,0,,Q,0
2,male,36.0,0,10.5,0,,S,0
3,male,16.0,4,39.6875,1,,S,0
3,male,25.0,1,7.775,0,,S,1
1,female,58.0,0,153.4625,1,C125,S,1
1,female,35.0,0,135.6333,0,C99,S,1
1,male,,0,31.0,0,,S,0
3,male,25.0,0,0.0,0,,S,1
2,female,41.0,0,19.5,1,,S,1
1,male,37.0,0,29.7,1,C118,C,0
3,female,,0,7.75,0,,Q,1
1,female,63.0,1,77.9583,0,D7,S,1
3,female,45.0,0,7.75,0,,S,0
2,male,,0,0.0,0,,S,0
3,male,7.0,4,29.125,1,,Q,0
3,female,35.0,1,20.25,1,,S,1
3,male,65.0,0,7.75,0,,Q,0
3,male,28.0,0,7.8542,0,,S,0
3,male,16.0,0,9.5,0,,S,0
3,male,19.0,0,8.05,0,,S,1
1,male,,0,26.0,0,A19,S,0
3,male,33.0,0,8.6625,0,,C,0
3,male,30.0,0,9.5,0,,S,1
3,male,22.0,0,7.8958,0,,S,0
2,male,42.0,0,13.0,0,,S,1
3,female,22.0,0,7.75,0,,Q,1
1,female,26.0,0,78.85,0,,S,1
1,female,19.0,1,91.0792,0,B49,C,1
2,male,36.0,0,12.875,0,D,C,0
3,female,24.0,0,8.85,0,,S,0
3,male,24.0,0,7.8958,0,,S,0
1,male,,0,27.7208,0,,C,0
3,male,23.5,0,7.2292,0,,C,0
1,female,2.0,1,151.55,2,C22 C26,S,0
1,male,,0,30.5,0,C106,S,1
1,female,50.0,0,247.5208,1,B58 B60,C,1
3,female,,0,7.75,0,,Q,1
3,male,,2,23.25,0,,Q,1
3,male,19.0,0,0.0,0,,S,0
2,female,,0,12.35,0,E101,Q,1
3,male,,0,8.05,0,,S,0
1,male,0.92,1,151.55,2,C22 C26,S,1
1,female,,0,110.8833,0,,C,1
1,female,17.0,1,108.9,0,C65,C,1
2,male,30.0,1,24.0,0,,C,0
1,female,30.0,0,56.9292,0,E36,C,1
1,female,24.0,0,83.1583,0,C54,C,1
1,female,18.0,2,262.375,2,B57 B59 B63 B66,C,1
2,female,26.0,1,26.0,1,,S,0
3,male,28.0,0,7.8958,0,,S,0
2,male,43.0,1,26.25,1,,S,0
3,female,26.0,0,7.8542,0,,S,1
2,female,24.0,1,26.0,0,,S,1
2,male,54.0,0,14.0,0,,S,0
1,female,31.0,0,164.8667,2,C7,S,1
1,female,40.0,1,134.5,1,E34,C,1
3,male,22.0,0,7.25,0,,S,0
3,male,27.0,0,7.8958,0,,S,0
2,female,30.0,0,12.35,0,,Q,1
2,female,22.0,1,29.0,1,,S,1
3,male,,8,69.55,2,,S,0
1,female,36.0,0,135.6333,0,C32,C,1
3,male,61.0,0,6.2375,0,,S,0
2,female,36.0,0,13.0,0,D,S,1
3,female,31.0,1,20.525,1,,S,1
1,female,16.0,0,57.9792,1,B18,C,1
3,female,,2,23.25,0,,Q,1
1,male,45.5,0,28.5,0,C124,S,0
1,male,38.0,0,153.4625,1,C91,S,0
3,male,16.0,2,18.0,0,,S,0
1,female,,1,133.65,0,,S,1
3,male,,0,7.8958,0,,S,0
1,male,29.0,1,66.6,0,C2,S,0
1,female,41.0,0,134.5,0,E40,C,1
3,male,45.0,0,8.05,0,,S,1
1,male,45.0,0,35.5,0,T,S,0
2,male,2.0,1,26.0,1,F2,S,1
1,female,24.0,3,263.0,2,C23 C25 C27,S,1
2,male,28.0,0,13.0,0,,S,0
2,male,25.0,0,13.0,0,,S,0
2,male,36.0,0,13.0,0,,S,0
2,female,24.0,0,13.0,0,F33,S,1
2,female,40.0,0,13.0,0,,S,1
3,female,,1,16.1,0,,S,1
3,male,3.0,1,15.9,1,,S,1
3,male,42.0,0,8.6625,0,,S,0
3,male,23.0,0,9.225,0,,S,0
1,male,,0,35.0,0,C128,S,0
3,male,15.0,1,7.2292,1,,C,0
3,male,25.0,1,17.8,0,,S,0
3,male,,0,7.225,0,,C,0
3,male,28.0,0,9.5,0,,S,0
1,female,22.0,0,55.0,1,E33,S,1
2,female,38.0,0,13.0,0,,S,0
3,female,,0,7.8792,0,,Q,1
3,female,,0,7.8792,0,,Q,1
3,male,40.0,1,27.9,4,,S,0
2,male,29.0,1,27.7208,0,,C,0
3,female,45.0,0,14.4542,1,,C,0
3,male,35.0,0,7.05,0,,S,0
3,male,,1,15.5,0,,Q,0
3,male,30.0,0,7.25,0,,S,0
1,female,60.0,1,75.25,0,D37,C,1
3,female,,0,7.2292,0,,C,1
3,female,,0,7.75,0,,Q,1
1,female,24.0,0,69.3,0,B35,C,1
1,male,25.0,1,55.4417,0,E50,C,1
3,male,18.0,1,6.4958,0,,S,0
3,male,19.0,0,8.05,0,,S,0
1,male,22.0,0,135.6333,0,,C,0
3,female,3.0,3,21.075,1,,S,0
1,female,,1,82.1708,0,,C,1
3,female,22.0,0,7.25,0,,S,1
1,male,27.0,0,211.5,2,C82,C,0
3,male,20.0,0,4.0125,0,,C,0
3,male,19.0,0,7.775,0,,S,0
1,female,42.0,0,227.525,0,,C,1
3,female,1.0,0,15.7417,2,,C,1
3,male,32.0,0,7.925,0,,S,0
1,female,35.0,1,52.0,0,,S,1
3,male,,0,7.8958,0,,S,0
2,male,18.0,0,73.5,0,,S,0
3,male,1.0,5,46.9,2,,S,0
2,female,36.0,0,13.0,0,,S,1
3,male,,0,7.7292,0,,Q,0
2,female,17.0,0,12.0,0,,C,1
1,male,36.0,1,120.0,2,B96 B98,S,1
3,male,21.0,0,7.7958,0,,S,1
3,male,28.0,2,7.925,0,,S,0
1,female,23.0,1,113.275,0,D36,C,1
3,female,24.0,0,16.7,2,G6,S,1
3,male,22.0,0,7.7958,0,,S,0
3,female,31.0,0,7.8542,0,,S,0
2,male,46.0,0,26.0,0,,S,0
2,male,23.0,0,10.5,0,,S,0
2,female,28.0,0,12.65,0,,S,1
3,male,39.0,0,7.925,0,,S,1
3,male,26.0,0,8.05,0,,S,0
3,female,21.0,1,9.825,0,,S,0
3,male,28.0,1,15.85,0,,S,0
3,female,20.0,0,8.6625,0,,S,0
2,male,34.0,1,21.0,0,,S,0
3,male,51.0,0,7.75,0,,S,0
2,male,3.0,1,18.75,1,,S,1
3,male,21.0,0,7.775,0,,S,0
3,female,,3,25.4667,1,,S,0
3,male,,0,7.8958,0,,S,0
3,male,,0,6.8583,0,,Q,0
1,female,33.0,1,90.0,0,C78,Q,1
2,male,,0,0.0,0,,S,0
3,male,44.0,0,7.925,0,,S,1
3,female,,0,8.05,0,,S,0
2,female,34.0,1,32.5,1,,S,1
2,female,18.0,0,13.0,2,,S,1
2,male,30.0,0,13.0,0,,S,0
3,female,10.0,0,24.15,2,,S,0
3,male,,0,7.8958,0,,C,0
3,male,21.0,0,7.7333,0,,Q,0
3,male,29.0,0,7.875,0,,S,0
3,female,28.0,1,14.4,1,,S,0
3,male,18.0,1,20.2125,1,,S,0
3,male,,0,7.25,0,,S,0
2,female,28.0,1,26.0,0,,S,1
2,female,19.0,0,26.0,0,,S,1
3,male,,0,7.75,0,,Q,0
3,male,32.0,0,8.05,0,E10,S,1
1,male,28.0,0,26.55,0,C52,S,1
3,female,,1,16.1,0,,S,1
2,female,42.0,1,26.0,0,,S,1
3,male,17.0,0,7.125,0,,S,0
1,male,50.0,1,55.9,0,E44,S,0
1,female,14.0,1,120.0,2,B96 B98,S,1
3,female,21.0,2,34.375,2,,S,0
2,female,24.0,2,18.75,3,,S,1
1,male,64.0,1,263.0,4,C23 C25 C27,S,0
2,male,31.0,0,10.5,0,,S,0
2,female,45.0,1,26.25,1,,S,1
3,male,20.0,0,9.5,0,,S,0
3,male,25.0,1,7.775,0,,S,0
2,female,28.0,0,13.0,0,,S,1
